,id,meanSentimentRating,textSnippet,sentimentScore
0,1_1,0.4,"On Dec. 19, around noon, New York City's Union Square Business Improvement District plans the First Santa Claus Ulympics (that's yule-lympics), in which about 50 contestants, in red suits and beards, will compete.",1
1,1_2,0.15,"Events include sprinting, broad jumping, yule log rolling, wreath tossing and a toy sack relay.",1
2,1_3,1.5,It's mainly a holiday celebration - toys from the sacks will be distributed to homeless kids.,1
3,1_4,-0.05,But the games also convey another message.,0
4,1_5,-1.15,"According to Clement C. Moore, author of ''A Visit from St. Nicholas,'' Santa Claus was no picture of health.",0
5,1_6,-1.6,"''The stump of a pipe he held tight in his teeth'' (periodontal risk); ''And the smoke it encircled his head like a wreath'' (heart disease, lung cancer); ''He had a broad face, and a round little belly / That shook, when he laughed, like a bowl full of jelly'' (overweight, poor aerobic fitness, weak muscle tone).",0
6,1_7,-1.0,It's hard to imagine such a person acting ''lively and quick.'',0
7,1_8,0.05,American youth needs the Union Square Santas' better example.,1
8,2_1,-0.35,Government budget time means budget language time.,0
9,2_2,0.05,"Some budget terms are technical necessities, like the distinction between actual outlays and budget authority.",1
10,2_3,0.95,Others are gems of political euphemism.,1
11,2_4,-0.2,"The recent prize-winner, which may be the work of an unknown New York state budget writer a few years ago, is revenue enhancement, meaning tax increase.",0
12,2_5,1.0,No one has devised a euphemism of equal elegance for the other side of the ledger - until now.,1
13,2_6,-0.75,"The new Reagan budget is skimpy on detail and limp on initiatives, but page 2-13 offers a new pearl of circumlocution.",0
14,2_7,0.35,"The Administration, it says, calls for no cuts in benefit levels for several programs.",1
15,2_8,0.1,"For some others, however, the Administration proposes carefully targeted reforms.",1
16,2_9,1.2,"Perfect: a description for spending cuts, even harsh ones, that sounds innocent, progressive, humane.",1
17,2_10,-0.45,"Is there, somewhere, a government budget in which carefully targeted reforms involve spending more money instead of less?",0
18,2_11,-0.15,"Sure, the same budget in which revenue enhancement means making a tax law more efficient, not just increasing the take.",0
19,3_1,-0.55,Have countries threatened with retaliatory tariffs under the new trade law entered into negotiations with the United States?,0
20,3_2,0.0,"S. Linn Williams, deputy U.S. Trade Representative, says: ''There are discussions.",1
21,3_3,0.05,We can call them negotiations.,1
22,3_4,0.3,They can call them a banana as long as it produces results.'',1
23,3_5,-0.05,Banana?,0
24,3_6,0.0,It's an economic euphemism with precedent.,1
25,3_7,-1.25,"During the Carter years, a nervous White House enjoined Administration officials not to mention the dreaded word ''depression,'' or even ''recession.''",0
26,3_8,0.15,"Alfred Kahn, the chairman of the Council on Wage and Price Stability, got the message.",1
27,3_9,-1.2,"The next time he wanted to warn of economic trouble, he talked about ''the worst banana you ever saw.''",0
28,3_10,-0.3,Washington's semantic worries haven't changed much since then.,0
29,3_11,-0.4,"For months the Federal Reserve Board has been keeping interest rates high, out of concern over rising inflation.",0
30,3_12,-0.5,Now it appears to be acting instead out of concern over recession.,0
31,3_13,-0.5,"Last week the Federal funds rate dropped a quarter-point, to 9 1/4 percent.",0
32,3_14,0.2,"The Fed's chairman, Alan Greenspan, will be asked about the future course of Fed policy when he testifies before Congress later this month.",1
33,3_15,-0.4,"Even under probing questioning he'll probably maintain a cryptic, statesmanlike position, something like: ''We have achieved our goal of moderating the economy.''",0
34,3_16,0.1,"In other words, banana.",1
35,4_1,-0.1,It may have started when Gloria Vanderbilt plastered her name across millions of back pockets.,0
36,4_2,0.1,"In time, Americans began accepting strangers' signatures not just on their jeans but their shoes, purses, cosmetics and furnishings.",1
37,4_3,-0.25,"Signed, labeled or otherwise trademarked, almost everything now seems to be a designer item.",0
38,4_4,0.25,Norma Kamali will design your couch.,1
39,4_5,0.1,Ralph Lauren creates your carpets.,1
40,4_6,1.05,"You can sleep slathered in cream by Elizabeth Arden, scented with perfume by Mikhail Baryshnikov, wear lingerie by Calvin Klein and nestle in sheets by Christian Dior.",1
41,4_7,0.1,"Then you can get up, throw on your bathrobe by Bill Blass and clean your teeth with a designer toothbrush by Paul Smith.",1
42,4_8,-1.15,What fuels America's obsession with putting a stranger's name on even the most intimate possessions?,0
43,4_9,-1.1,"Probably, sadly, it's a belief among many people that they lack chic.",0
44,4_10,0.55,"Designer labels, they assume, will at least certify they have the taste (and money) to buy chic.",1
45,4_11,-2.15,But flaunting a price tag disguised as a designer name is as tasteless as it is insecure.,0
46,4_12,0.15,"The right names to sew on our clothes are our own, and the right place is on the inside.",1
47,5_1,-0.95,Coming home to the sidewalks of New York used to be a real come-down for the person who'd just spent a week or so on the streets of Paris: there were no flowers.,0
48,5_2,0.85,"In Paris, street markets flaunted huge bouquets of mimosa in February, small bouquets of lily of the valley in May, and roses all the time.",1
49,5_3,-0.45,New York's handful of street markets featured grit-flecked daisies and bedraggled mountain laurel.,0
50,5_4,0.65,Then Korean grocers set up shop and brought acres of flowers with them.,1
51,5_5,1.0,Suddenly anyone with two or three bucks to spare could have daffodils in the living room or carnations by the bed.,1
52,5_6,0.25,"Next, the farmers in the city's Greenmarkets started harvesting asters and wildflowers and bittersweet along with tomatoes, corn and squash.",1
53,5_7,0.45,"Now rose fever, which began in two boutiques on the Upper East Side, is spreading.",1
54,5_8,0.2,The rose boutiques sell flowers direct from Central America for $6 to $13 a dozen.,1
55,5_9,0.3,There is a new one in Greenwich Village and more are expected on the Upper West Side.,1
56,5_10,0.75,A city getting tougher to live in by the minute is also getting sweeter every day.,1
57,6_1,-0.7,"Some of New York's most influential lawmakers thought nothing of accepting free air fare and accommodations to attend last week's New York Savings Bank convention in Boca Raton, Fla.",0
58,6_2,-0.75,In the process they threw a shadow over both banking and government.,0
59,6_3,-0.25,"The junketeers included Senator Alfonse D'Amato, a member of the Banking Committee; Assembly Speaker Mel Miller; Ralph Marino, incoming State Senate majority leader, who now heads the Banking Committee, and Herman Farrell, head of the Assembly Banks Committee.",0
60,6_4,0.5,There's nothing wrong with participating in the convention.,1
61,6_5,0.0,Exchanges between officials and the industries they regulate are part of public policy-making.,1
62,6_6,-1.1,What casts the shadow is letting the banks pay their way.,0
63,6_7,-1.5,"When officials accept freebies from those they are charged with overseeing, they open their impartiality to unworthy suspicion.",0
64,6_8,0.35,The public is entitled to that impartiality - and to its appearance.,1
65,6_9,0.7,"New York's Banking Superintendent, Jill Considine, observes an ethical standard.",1
66,6_10,-0.3,"She too attended the convention, but at state expense.",0
67,6_11,0.7,Her policy is to decline payment of travel and other expenses from organizations her agency regulates - a rule that Mr. D'Amato and his fellow junketeers would wisely emulate.,1
68,7_1,-1.05,"The Thalia, the popular movie revival house on West 95th Street, closed recently, a victim of the neighborhood boom it helped in a small way to create.",0
69,7_2,-0.85,"Occupying prime space in a fast-forward real estate market, the theater could no longer keep up.",0
70,7_3,-1.2,Dreams won't pay the rent.,0
71,7_4,1.55,"But those who looked up to the works of Rene Clair, Fritz Lang and Luis Bunuel from the Thalia's oddly angled floor got something priceless.",1
72,7_5,1.0,"Film lovers and future directors slouched in its unsteady seats, sharing a passion for movies and a common frame of reference.",1
73,7_6,1.1,"When Woody Allen sent a baby buggy bouncing down steps in ''Bananas,'' Thalia goers recognized the baby buggy from ''Potemkin'' and roared.",1
74,7_7,-0.3,Movie buffs will find other dark corners of Manhattan where the air is cool with a touch of evil and Catherine beguiles Jules and Jim.,0
75,7_8,-1.4,"But on the Upper West Side, Thalia, muse of comedy and idylls, is homeless.",0
76,8_1,0.05,President Bush greeted fellow summiteers at their meeting in Houston last week with a ringing but ungrammatical declaration that ''a new world of freedom lays before us.'',1
77,8_2,0.0,"The major wire services and most newspapers - The A.P., U.P.I., Reuters, The Washington Post, Newsday and The New York Times, among others - reported it verbatim.",1
78,8_3,-0.1,"But ''lays'' (incorrect) became ''lies'' (correct) in some other papers, including The Los Angeles Times, The Christian Science Monitor, The Washington Times and even Japan's Kyodo News Service.",0
79,8_4,-0.7,"It's a common problem for editors, whether to clean up a speaker's mistakes or leave them as spoken.",0
80,8_5,0.7,"When corrections are made, strict grammarians might hope that the speaker notices and maybe even appreciates the effort.",1
81,8_6,-0.15,Not Mr. Bush.,0
82,8_7,-1.45,"One day after he misused ''lays'' he flubbed again, with a vengeance.",0
83,8_8,0.15,"Presiding at dinner at Houston's Museum of Fine Arts, he greeted his guests anew: ''There is no work here tonight - no communiques, no amendments, no language to be corrected.",1
84,8_9,1.9,We want you to have a very good time in this museum that we are very proudful of.'',1
85,8_10,0.95,Proudful.,1
86,8_11,-0.15,"As in, before a fall.",0
87,9_1,1.25,"When New York City and Westchester shoppers pay for their groceries at D'Agostino supermarkets this month, they can also help provide hot meals for the homebound elderly.",1
88,9_2,1.05,A clever innovation at the checkout counter makes it possible.,1
89,9_3,-0.15,Customers are asked to ''round up'' their bills to the next dime or dollar.,0
90,9_4,1.25,"The extra change goes to Citymeals-on-Wheels, which, in cooperation with New York City's Department for the Aging, delivers hot meals to nearly 8,000 homebound elderly on weekends and holidays.",1
91,9_5,0.25,"Any amount can be given, from pennies to dollars.",1
92,9_6,0.2,The customer's receipt itemizes the donation along with the applesce and prodc.,1
93,9_7,-0.8,"Some retailers have long permitted collection cans at the checkout, but others have been deterred by theft.",0
94,9_8,0.85,The computerized cash register's ability to separate contributions from purchases and record the total now enables collecting donations with regular receipts.,1
95,9_9,0.95,"In the first week of the February campaign, the region's 24 D'Agostino stores collected more than $10,000, enough to buy 2,283 hot meals for Citymeals's clients.",1
96,9_10,0.45,Small change; big effect.,1
97,10_1,-0.25,"When a worried Iraq sought Western intervention against an intolerant, revolutionary Iran, it advertised itself as a moderate, civilized society.",0
98,10_2,-0.6,"The West stepped in, for its own good reasons, but few were fooled by the Iraqi masquerade.",0
99,10_3,-2.65,Saddam Hussein's Baghdad dictatorship is one of the world's most barbaric tyrannies.,0
100,10_4,-2.15,"The point is grimly driven home by a new Amnesty International report, which charges that Iraq has for years targeted the children of political opponents to obtain information and to force confessions from their parents.",0
101,10_5,-1.25,"One released prisoner said Iraqi police did this to his family to persuade him to talk: ''Mother, three sisters and three brothers with five children between 5 and 13 were arrested and brought in front of me.",0
102,10_6,-1.8,They were subjected to beatings on the soles of the feet and electric shocks.'',0
