,stars,text,sentimentScore
6820470,1,"Drove one and half hour there. Waited for an hour for a long expected movie, then told computer problem, issued readmission ticket, what a waste of time!",0
6251359,1,So I gave this place a bad review the first time and haven't been back. Today I tried it again and walked in to the host SITTING behind the table on her PHONE.. looked up once while continuing to play on her phone and stated it will be an hour wait.. completely unprofessional and very rude and I will NEVER try again,0
6128778,2,Flowers looked good. They dropped them off hours before they should and just like I was worried about my gf co-workers texted her and ruined the whole surprise. Paying $100+ I expect her to be surprised at work. Really really bummed me out.  Flowers were nice but also looked a little different then the pictures online.,0
2758457,1,"As I sit here I am watching the cook wipe the sweat off his head then handle the food. To add to this he is not wearing a mask. There are signs in here that clearly say ""no mask no service""  I'm pretty grossed out at the moment and am really wanting to cancel my order. If COVID is fake to you ok but the fact that he's putting his face oils and sweat into my food is repulsive. Also if you're going to handle peoples food maybe gloves may be appropriate.",0
427928,1,"This is not another Patron review made by many after losing at slot machines andTable Games! This review is why I have fallen out of love with the once amazing Hard Rock Staff. 

I frequently visit the casino and of course that means suspending a lot of money in the Seminole establishment.  I've been a Wild Card Member over 9 years. I've enjoyed the times spent with family and friends, until recently. 

I've seen a HUGE decline in customer service from cocktail waitresses, to slot managers, and unfortunately even the players club management (I don't have any complaints about the players club team members themselves because they are Extremely helpful and polite) 

Lately every time we spend a night or day at the Casino its been nothing but a headache, that leaves all of us with a.horrible taste in our mouths.. I have requested for upper management to reach out to me in regards to the past 3 incidents not only by 1 member of your management team; but 3. No-one has given me a courtesy call or even reached out to me. 

I mean come on Hard Rock, 

Corporate asked me to file a report with the security manager on duty so the incident could be handled by the proper chain of command. The way the it was handled was unheard of! I was reassured that she would NOT be reaching out to me, at all. After I insisted she had my contact information. I only this I requested was to be informed of the outcome after coaching the security guard who verbally attacked and embarrassed my son in-laws fiancé, and myself. 

I am beyond disappointed in the staff professionalism.

Being a business owner myself, I would never hire employees who speak in an abusive manner to my customers. Better yet - I wouldn't keep them around if they treated a human the way we have been treated. 

Yet those same unprofessional employees continue to be employed with the Seminole Hard rock and continue to harass my family to the point we feel uncomfortable and don't want to comeback to the hard rock. Which is disappointing because it once was such a blessing to have a casino so close to home. I guess we will be taking our business to a establishment where we are treated with respect and decency.  

I will be letting my friends, family and the network I am apart of know exactly what kinds of individuals continue to be employed even after their embarrassing actions to their place of employment, and sadly how the management staff has failed to keep the management skills that I'm sure got them to the position they have. They should be leading by example and it surly shows what kind of examples have been set to the staff they manage. 

So I will end this review with a question? 

Where is the Hard Rock we Loved so much the one where loosing money almost everyday didn't matter?


Get it together hard rock you are better than this!",0
5969501,1,"Wow. Just wow. This review is directed at the pharmacist, (which she didn't give me her name), as well as Jen the ""manager on duty"" and poor Stacey the pharmacy manager that the pharmacist threw under the bus because she didn't want to take the blame for not doing her job. Stacey is not even at work right now, but that's the name she gave me. I am totally calling corporate because I think the owners of the store that give you a paycheck would love to know that you are uninterested in helping anyone, especially since your store is the ONLY 24 hour pharmacy. I told you I would be putting this on Yelp so I know you are looking for it.

I called to ask a question about Tylenol. I was put on hold at the pharmacy for 17 minutes, no one ever answered. I hung up the phone and called back. I asked the girl at the front if there was anyone working in the pharmacy because I've been on hold for a long time and I just had a quick question. She said yes hold on one second and transferred me back. I waited another 10 minutes on hold. I called back and asked for the manager, she hung up on me. I called back and asked for the manager again, she put me on hold for six minutes. I called back and just asked for the managers name. Only this time apparently the pharmacist answered the phone, probably because heard I was so upset, and quickly pushed it off as she's the only one there and no one paged her. Never heard an apology, never really wanted one. I just want her to know, how important her job is. People are calling her for help with their HEALTH... And she cares not.


I know you're probably working the night shift because it pays a couple of dollars more, but you should probably switch to the dayshift since you do not have as much responsibility that is left just on you. Leave the night shift to people that truly care about helping people...

Also, just like I said on the phone, you work with the public, if you can't handle that, find a new job. CUSTOMER SERVICE....",0
5859135,1,"This is the worst service at Waffle House I have ever experienced. We've been sitting here for almost 30 minutes and have not received a menu, asked our drink orders, or any service of that matter. I am highly upset and disgusted with the service that I am receiving and DO NOT recommend this place to anyone after about 2 o clock because the service is HORRIBLE!!!!",0
4856962,1,"I have not received my home delivered newspaper since 11/21/21. I've called and the only people I can talk to are their outsourced customer service representatives.  They apologize profusely and then tell you a bunch of lies such as they will contact dispatch and have a paper delivered (never happens), or when I request to speak with my district manager they tell me that the district manager will call me (never happens).  I've been a Reno Gazette Journal customer for almost 20 years.  Their customer service, delivery service and the paper itself has diminished over the years.  Cancelling my newspaper would be a lot less frustrating.",0
3478326,1,"I went to go get some poster work done for my studio. Figure they were in the neighborhood and I would give them a shot. Job was supposed to take 2 hours, it took over 12 hours and when I went to go and pick it up the color was completely off.  When I confronted the tech about the colors he told me oh know they look the same..( thought to myself we have a problem this guy works at print area and can't see that there is two different colours)
   Manager finally came over look at the print he says I will redo it come back in 2 hours.  Went back and I was told they weren't able to match the colors need the original download file , and I politely ask them how could you not match colors that it was your stock print they had no answer.( its funny to see two guys just stare at one another with no answer...)
     Being in business  for myself I figured I would give them a second chance, decided to get some more work done at the same location.

My order was placed at 2:54 p.m. to be picked up in 4 hours, went to go pick it up at 7:35 pm it was not printed yet girl told me to come back in 20 minutes. went back over an hour later and it still was not printed. well as you could see I am NOT happy with the customer service at this Staples.
My feeling is if you have people working into a copy print shop they need to be able to carry out orders for all the work of that day, evidently they are slow and some extremely rude like you're bothering them I'm sorry maybe I'm wrong but it's your job.


Sincerely Teri,",0
5519995,2,"I left a rechargeable battery with them a month ago and was told that it would take a week or two because they currently cannot work on rechargeable batteries. As of today it's still not done and I don't know if it will be done, so I'm out $45 in a time when I don't have a lot to spare. There's no organization to anything they're doing. At this point I feel the other store will work on it only if they aren't busy with their own customers.",0
